movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits
20178444,극장판 레이디버그: 미라클스톤의 비밀,66,2017,20180125,장편,프랑스,애니메이션,토마스 아스트뤽,여민정|남도형,(주)삼지애니메이션,전체관람가
20178126,인시디어스4: 라스트 키,103,2017,20180131,장편,미국,스릴러|공포(호러)|미스터리,애덤 로비텔,린 샤예|스펜서 로크|조시 스튜어트|하비에르 보텟,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가
20168323,염력,101,2017,20180131,장편,한국,코미디|드라마,연상호,류승룡|심은경|박정민,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가
20178395,12 솔져스,130,2018,20180131,장편,미국,전쟁|액션|드라마,니콜라이 퓰시,크리스 헴스워스|마이클 섀넌|마이클 페나|트레반트 로즈,(주)제이앤씨미디어그룹,15세이상관람가
20178469,올 더 머니,132,2017,20180201,장편,미국,스릴러|범죄|드라마|미스터리,리들리 스콧,미셀 윌리엄스|크리스토퍼 플러머|마크 월버그,판씨네마(주),15세이상관람가
20179228,마야2,84,2017,20180201,장편,독일,애니메이션,세르지오 델피노|노엘 클리어리,김서영|김명준|김소희|윤세웅|오인실|임채헌|이소은|장병관|석승훈|이규창|민아,(주)영화사 빅,전체관람가
20189901,더 포리너,113,2017,20180207,장편,중국|영국,스릴러|액션,마틴 캠벨,성룡|피어스 브로스넌,(주)더블앤조이픽쳐스|TCO(주)더콘텐츠온,15세이상관람가
20179205,조선명탐정: 흡혈괴마의 비밀,119,2017,20180208,장편,한국,코미디|사극|어드벤처,김석윤,김명민|오달수|김지원,(주)쇼박스,12세이상관람가
20178672,패딩턴 2,103,2017,20180208,장편,영국|프랑스,드라마|코미디,폴 킹,엄상현,(주)이수C&E,전체관람가
20179106,겨울왕국의 무민,82,2017,20180208,장편,폴란드|핀란드,가족|애니메이션,이라 카르페란|야쿱 론스키,빌 스카스가드|알리시아 비칸데르|스텔란 스카스가드,(주)팝엔터테인먼트,전체관람가
20189761,터닝메카드W: 반다인의 비밀 특별판,75,2018,20180208,장편,한국,애니메이션,홍헌표,소연|윤미나|이현진,(주)제이앤씨미디어그룹|(주)버킷스튜디오,전체관람가
20176121,흥부: 글로 세상을 바꾼 자,105,2017,20180214,장편,한국,사극,조근현,정우|김주혁,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가
20170561,블랙 팬서,134,2018,20180214,장편,미국,SF|액션|드라마,라이언 쿠글러,채드윅 보스만|마이클 B. 조던|루피타 뇽오,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가|12세이상관람가
20078561,명탐정 코난:감벽의 관,106,2007,20180214,장편,일본,애니메이션,야마모토 야스이치로,김선혜|강수진|이현진|이용신|이정구|타카야마 미나미|야마구치 캇페이|야마자키 와카나|카미야 아키라,씨제이이앤엠(주),12세이상관람가
20168250,골든슬럼버,108,2017,20180214,장편,한국,드라마|범죄,노동석,강동원|김의성|한효주|김성균|김대명,씨제이이앤엠(주),15세이상관람가
20180542,50가지 그림자: 해방,105,2018,20180221,장편,미국,스릴러|드라마|멜로/로맨스,제임스 폴리,다코타 존슨|제이미 도넌,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가
20173436,셰이프 오브 워터: 사랑의 모양,123,2017,20180222,장편,미국,판타지|어드벤처,기예르모 델 토로,샐리 호킨스|마이클 섀넌|리차드 젠킨스|더그 존스,이십세기폭스코리아(주),청소년관람불가
20177946,월요일이 사라졌다,123,2017,20180222,장편,벨기에|영국|미국|프랑스,범죄|액션|어드벤처,토미 위르콜라,누미 라파스,(주)스마일이엔티,15세이상관람가
20189882,반딧불이 딘딘,85,2017,20180222,장편,중국,애니메이션,등위봉,방지원|조연우|신정훈|박상우|송영인,(주)박수엔터테인먼트,전체관람가
20170841,리틀 포레스트,103,2018,20180228,장편,한국,드라마,임순례,김태리|류준열|문소리|진기주,메가박스중앙(주)플러스엠,전체관람가
20150969,궁합,109,2015,20180228,장편,한국,드라마|코미디,홍창표,심은경|이승기,씨제이이앤엠(주),12세이상관람가
20189861,더 포스트,116,2017,20180228,장편,미국,스릴러|드라마,스티븐 스필버그,메릴 스트립|톰 행크스,CGV아트하우스,12세이상관람가
20180341,레드 스패로,140,2018,20180228,장편,미국,스릴러,프란시스 로렌스,제니퍼 로렌스|조엘 에저튼,이십세기폭스코리아(주),청소년관람불가
20189663,게이트,91,2017,20180228,장편,한국,코미디|범죄,신재호,정려원|임창정|정상훈|이경영|이문식,(주)제이앤씨미디어그룹,15세이상관람가
20179731,나미야 잡화점의 기적,129,2017,20180228,장편,일본,드라마|판타지,히로키 류이치,야마다 료스케|니시다 토시유키|무라카미 니지로|칸이치로,(주)이수C&E,전체관람가
20178781,사라진 밤,101,2017,20180307,장편,한국,스릴러,이창희,김상경|김강우|김희애,씨네그루(주)키다리이엔티,15세이상관람가
20178490,온리 더 브레이브,133,2017,20180307,장편,미국,드라마,조셉 코신스키,조슈 브롤린|마일스 텔러|제프 브리지스|테일러 키취,㈜코리아스크린,12세이상관람가
20176070,플로리다 프로젝트,111,2017,20180307,장편,미국,드라마,션 베이커,윌렘 데포|브루클린 프린스|브리아 비나이트,오드,15세이상관람가
20180564,툼레이더,117,2018,20180308,장편,미국,어드벤처|액션,로아 우타우,알리시아 비칸데르,워너브러더스 코리아(주),12세이상관람가
20170669,지금 만나러 갑니다,131,2017,20180314,장편,한국,멜로/로맨스,이장훈,소지섭|손예진,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가
20172244,치즈인더트랩,116,2017,20180314,장편,한국,스릴러|멜로/로맨스,김제영,박해진|오연서,(주)리틀빅픽쳐스,15세이상관람가
20180082,로건 럭키,118,2017,20180314,장편,미국,액션|코미디|범죄|드라마,스티븐 소더버그,채닝 테이텀|다니엘 크레이그|아담 드라이버|라일리 키오|힐러리 스웽크,(주)스톰픽쳐스코리아,12세이상관람가
