movieCd,movieNm,w1,w2,w3,w4
20157042,셜록: 유령신부,2016-01-09,2016-01-16,2016-01-23,2016-01-30
20153087,포인트 브레이크,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20155422,굿 다이노,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20142641,나를 잊지 말아요,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20158882,유스,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20159510,헤이트풀8,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20152370,잡아야 산다,2016-01-14,2016-01-21,2016-01-28,2016-02-04
20154001,레버넌트: 죽음에서 돌아온 자,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20157158,구스범스,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20068576,그날의 분위기,2016-01-21,2016-01-28,2016-02-04,2016-02-11
20158483,오빠생각,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20150566,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20159199,빅쇼트,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20150461,스티브 잡스,2016-01-28,2016-02-04,2016-02-11,2016-02-18
20157466,"로봇, 소리",2016-02-03,2016-02-10,2016-02-17,2016-02-24
20151803,쿵푸팬더3,2016-02-04,2016-02-11,2016-02-18,2016-02-25
20159445,세기의 매치,2016-02-04,2016-02-11,2016-02-18,2016-02-25
20145507,검사외전,2016-02-10,2016-02-17,2016-02-24,2016-03-02
20159657,최강전사 미니특공대: 영웅의 탄생,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20150942,캐롤,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20159059,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20156080,나쁜놈은 죽는다,2016-02-11,2016-02-18,2016-02-25,2016-03-03
20150456,드레스메이커,2016-02-18,2016-02-25,2016-03-03,2016-03-10
