movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20145182,4등,119,2014,20160413,장편,한국,드라마,정지우,박해준|이항나|유재상,(주)프레인글로벌|CGV아트하우스,15세이상관람가,20972,28220,31069,33138,39544
20162206,브루클린,111,2016,20160421,장편,미국,멜로/로맨스|드라마,존 크로울리,도널 글리슨|시얼샤 로넌,이십세기폭스코리아(주),12세이상관람가,17609,31487,42002,47731,51106
20159641,위대한 소원,93,2016,20160421,장편,한국,드라마|코미디,남대중,류덕환|김동영|안재홍|전노민|전미선,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,256048,300981,306575,307732,308398
20159364,캡틴 아메리카: 시빌 워,147,2015,20160427,장편,미국,스릴러|액션|SF,조 루소|안소니 루소,크리스 에반스|로버트 다우니 주니어,월트디즈니컴퍼니코리아(주),12세이상관람가,4871540,7648143,8355440,8604338,8678117
20161842,태양 아래,91,2015,20160427,장편,독일|체코|러시아,다큐멘터리,비탈리 만스키,0,THE 픽쳐스,전체관람가,13420,24298,26256,27688,33008
20142406,탐정 홍길동: 사라진 마을,125,2016,20160504,장편,한국,액션|드라마,조성희,이제훈|김성균,씨제이이앤엠(주),15세이상관람가,949965,1287089,1407781,1427932,1430960
20162300,매직브러시,80,2016,20160504,장편,중국,애니메이션,쯔씽 쫑,김서영|김경희|박상훈|홍진욱|소역침|맹상룡|홍해천,(주)영화사 빅,전체관람가,152842,168278,169639,171055,172396
20162542,다이노소어 어드벤처 : 백악기 공룡대백과,83,2015,20160504,장편,영국,다큐멘터리,앤드류 코헨|닐 나이팅게일|베리 쿡,0,(주)박수엔터테인먼트|(주)애니플러스,전체관람가,93305,107660,109097,110991,112242
20162704,극장판 안녕 자두야,75,2016,20160504,장편,한국,애니메이션,손석우,여민정|양정화,씨제이이앤엠(주),전체관람가,219975,265929,276202,279116,280656
20158888,45년 후,95,2015,20160505,장편,영국,멜로/로맨스|드라마,앤드류 헤이,샬롯 램플링|톰 커트니,판씨네마(주),15세이상관람가,13379,19007,21405,22513,23994
20163137,나의 소녀시대,134,2015,20160512,장편,대만,드라마|멜로/로맨스,프랭키 첸,송운화|왕대륙|이옥새|간정예,오드,15세이상관람가,98459,238323,333669,385459,410538
20140194,곡성,156,2016,20160512,장편,미국|한국,드라마|미스터리|스릴러,나홍진,곽도원|황정민|쿠니무라 준|천우희|김환희,이십세기폭스코리아(주),15세이상관람가,3212395,5056604,5927523,6546300,6879989
20156559,계춘할망,116,2016,20160519,장편,한국,드라마|가족,창,윤여정|김고은,(주)콘텐츠 난다긴다,15세이상관람가,302809,424137,470733,475989,482784
20163018,싱 스트리트,105,2016,20160519,장편,미국|아일랜드|영국,멜로/로맨스|드라마,존 카니,퍼디아 월시 필로|루시 보인턴,(주)이수C&E,15세이상관람가,253974,404667,507264,534990,574853
20156207,앵그리버드 더 무비,97,2016,20160519,장편,핀란드|미국,애니메이션,클레이 케이티스|퍼갈 레일리,신용우|신동엽|정영웅|제이슨 서디키스|조시 게드|대니 맥브라이드,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,286044,462415,633587,662562,680622
20163322,동급생,60,2016,20160519,장편,일본,드라마|애니메이션,나카무라 쇼코,노지마 켄지|카미야 히로시,(주)박수엔터테인먼트,15세이상관람가,14340,23222,32746,36074,39461
