movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20158529,조이,20160310,2,120814,182247,3,2,139857,167943,169927,170801,172253,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20162381,일사각오,20160317,3,58011,94825,1,2,27669,46917,57815,68108,94825,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161881,부활,20160317,2,54695,50116,3,2,55225,112835,145154,163434,176539,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161968,오 마이 그랜파,20160317,2,43006,137758,2,4,74971,77932,78917,79551,79701,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20152781,배트맨 대 슈퍼맨: 저스티스의 시작,20160324,2,1118671,617939,3,2,1646940,2072753,2216810,2247073,2256913,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20159643,글로리데이,20160324,3,1753644,243218,1,3,141660,180101,186471,188895,189442,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161921,"헤일, 시저!",20160324,2,24029,127348,3,2,28796,32095,33396,33965,34331,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20150902,대배우,20160330,3,169984,810002,1,2,156791,168065,169016,169226,169984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20152782,"날, 보러와요",20160407,3,222281,697272,3,4,615271,885441,1032928,1060633,1063442,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20162065,클로버필드 10번지,20160407,2,357736,128887,3,3,301274,344697,356423,357264,357736,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20161964,독수리 에디,20160407,2,90836,845365,3,2,190073,218510,225137,225849,226341,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161870,트럼보,20160407,2,73487,109798,1,3,45189,51168,56555,59501,61964,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20145506,해어화,20160413,3,218463,592706,3,3,303873,436214,471621,480789,485695,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20142621,시간이탈자,20160413,3,330499,1159309,3,3,663977,1026760,1166031,1201547,1202511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20158984,헌츠맨: 윈터스 워,20160413,2,445009,238041,3,2,346027,439610,441104,441383,445009,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20162431,극장판 프랭키와 친구들: 생명의 나무,20160413,3,56860,26552,1,1,30907,42550,47856,48187,56860,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145182,4등,20160413,3,449428,70012,1,3,20972,28220,31069,33138,39544,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162206,브루클린,20160421,2,18228,288205,3,2,17609,31487,42002,47731,51106,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20159641,위대한 소원,20160421,3,297725,55018,3,3,256048,300981,306575,307732,308398,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20159364,캡틴 아메리카: 시빌 워,20160427,2,5670276,2867525,1,2,4871540,7648143,8355440,8604338,8678117,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20161842,태양 아래,20160427,1,6878,0,1,1,13420,24298,26256,27688,33008,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20142406,탐정 홍길동: 사라진 마을,20160504,3,2022105,1176385,3,3,949965,1287089,1407781,1427932,1430960,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
