,movieCd,movieNm
6859,19918269,터미네이터 2 : 심판의 날 감독판
6898,20124402,열한시
6899,20138544,헝거게임: 캣칭 파이어
6905,20133701,하늘에서 음식이 내린다면 2
6908,20110881,창수
6929,20131263,사이비
6948,20132824,리딕
6949,20135367,오싱
6976,20134268,버틀러: 대통령의 집사
7009,20135443,산타의 매직 크리스탈
7041,20135657,인시디어스: 두번째 집
7044,20135370,이스케이프 플랜
7100,20134123,집으로 가는 길
7109,20134803,변호인
7110,20134267,호빗: 스마우그의 폐허
7149,20135365,코비: 블루 엘리펀트의 전설
7158,20139981,캐치미
7168,20124938,용의자
7185,20134984,다이노소어 어드벤처 3D
7186,20136308,비행기
7187,20135427,세이빙 산타
7189,20133704,그렇게 아버지가 된다
7228,20131246,엔더스 게임
7229,20134046,월터의 상상은 현실이 된다
7236,20134206,썬더와 마법저택
7306,20135369,저스틴
7339,20138224,플랜맨
7393,20134592,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성"
7394,20134533,타잔 3D
7395,20136812,더 울프 오브 월스트리트
7439,20136575,배틀 오브 비보이
7457,20136894,살인자
7460,20136803,겨울왕국
7462,20136337,잭 라이언 : 코드네임 쉐도우
7521,20139881,피끓는 청춘
7522,20131102,수상한 그녀
7523,20137043,남자가 사랑할 때
7536,20136860,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전
7539,20126090,조선미녀삼총사
7575,20122787,또 하나의 약속
7585,20130561,관능의 법칙
7596,20136800,넛잡: 땅콩 도둑들
7597,20147250,폴리스 스토리 2014
7598,20133585,인사이드 르윈 
7609,20147161,디노타샤: 공룡대탐험
7649,20147301,굿모닝 맨하탄
7659,20136292,"가장 따뜻한 색, 블루"
7669,20136043,신이 보낸 사람
7673,20147096,프랑켄슈타인: 불멸의 영웅
7678,20136445,레고 무비
7741,20134587,로보캅
7747,20068659,명탐정 코난 : 탐정들의 진혼가 
7759,20147372,슈퍼노바 지구 탈출기
7810,20139401,찌라시: 위험한 소문
7811,20134028,폼페이: 최후의 날
7817,20136887,아메리칸 허슬
7819,20147282,우리별 일호와 얼룩소
7869,20134070,어네스트와 셀레스틴
7880,20147299,논스톱
7885,20136866,노예 12년
7887,20147430,모뉴먼츠 맨: 세기의 작전
7889,20147584,스턱 인 러브
7950,20147247,300: 제국의 부활
7956,20133603,다이애나
7958,20147625,달라스 바이어스 클럽
8020,20136060,몬스터
8021,20138226,우아한 거짓말
8026,20147693,원 챈스
8029,20147695,엔들리스 러브
8049,20147904,"하늘을 나는 강아지, 비포와 친구들"
8067,20147872,프라이버시
8090,20133602,노아
8095,20147727,그랜드 부다페스트 호텔
8098,20147953,론 서바이버 
8099,20147649,벨과 세바스찬
8118,20147848,꼬마영웅 경찰차 프로디2
8150,20147790,캡틴 아메리카: 윈터 솔져
8166,20147694,슈퍼미니
8169,20147883,블러드 타이즈 
8176,20129787,방황하는 칼날
8185,20136736,초원의 왕 도제
8187,20148168,아바타 정글의 비밀
8209,20147690,아이스맨
8215,20147612,쓰리데이즈 투 킬
8219,20147968,선 오브 갓
8225,20134585,가시
8228,20147678,어거스트: 가족의 초상
8237,20124047,백프로
8239,20147971,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!
8248,20147509,세이빙 미스터 뱅크스
8288,20147948,페이스 오브 러브
8302,20147609,헤라클레스 : 레전드 비긴즈
8362,20147283,다이버전트
8364,20148232,니드 포 스피드
8369,20147679,필로미나의 기적
8375,20134122,한공주
8378,20148208,그랜드 피아노
8430,20135661,어메이징 스파이더맨 2
8438,20136805,파가니니: 악마의 바이올리니스트
8447,20133601,천재 강아지 미스터 피바디
8449,20138962,리오 2
8468,20139183,역린
8488,20147683,라스트베가스
8497,20139164,표적
8518,20148277,몬스터 왕국
8519,20147880,위크엔드 인 파리
8579,20133322,인간중독
8587,20134601,디태치먼트
8589,20148615,히트맨 NO.2 : 살인면허
8598,20130442,끝까지 간다
8628,20134586,도희야
8629,20148129,더 바디
8642,20130522,트랜센던스
8651,20147874,고질라
8659,20148967,침입자들 : 로봇의 역습
8699,19548002,사브리나
8708,20147669,엑스맨: 데이즈 오브 퓨처 패스트
8718,20148748,그녀
8719,20148447,일대일
8729,20148835,케이트 맥콜
8779,20148686,오큘러스
8792,20148383,말레피센트
8796,20148648,극장판 루팡 3세 VS 명탐정 코난
8806,20132482,우는 남자
8836,20136062,하이힐
8841,20148807,엣지 오브 투모로우
8859,20148347,마이 블랭키
8909,20147684,리스본행 야간열차
8922,20134591,황제를 위하여
8936,20133641,경주
8938,20148834,베스트 오퍼
8939,20148847,밀리언 웨이즈
8993,20148795,미녀와 야수
8994,20148877,그레이스 오브 모나코
8995,20148728,창문 넘어 도망친 100세 노인
8998,20148994,님포매니악 볼륨1
9038,20149155,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘
9060,20122021,트랜스포머: 사라진 시대
9068,20147970,그레이트 뷰티
9079,20148602,이브 생 로랑
9097,20149307,로코왕국의 전설: 엘프킹을 찾아서
9128,20139201,신의 한 수
9134,20147931,소녀괴담
9145,20149271,나쁜 이웃들 
9148,20149343,님포매니악 볼륨2
9169,20149286,로보싸커
9188,20149288,더 시그널
