,date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
28,20120103,9,9,1,OLD,20113311,앨빈과 슈퍼밴드3,2011-12-15,49975000,2.0,3747500,8.1,3512877500,7934,705,9.8,531452,128,257
29,20120103,10,10,-1,OLD,20112708,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,2011-12-22,49311000,2.0,-270500,-0.5,1694587500,7447,108,1.5,249856,155,249
30,20120104,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,591308000,30.3,-147808500,-20,42905213000,79937,-20433,-20.4,5647595,658,2925
31,20120104,2,2,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,324539500,16.6,-69972000,-17.7,11892079000,44603,-10037,-18.4,1610215,341,1679
32,20120104,3,3,0,OLD,20110295,마이 웨이,2011-12-21,238518000,12.2,-61360000,-20.5,13960948500,33030,-8878,-21.2,1872838,571,2125
33,20120104,4,4,0,OLD,20113260,퍼펙트 게임,2011-12-21,215946000,11.1,-35439000,-14.1,7413091000,30016,-5080,-14.5,1002875,386,1356
34,20120104,5,5,1,OLD,20113381,오싹한 연애,2011-12-01,135995000,7.0,-32917500,-19.5,21128801500,18793,-4740,-20.1,2891489,235,792
35,20120104,6,6,-1,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,124320000,6.4,-59058500,-32.2,2005588000,17667,-8288,-31.9,270171,257,701
36,20120104,7,7,0,OLD,19940256,라이온 킹,1994-07-02,119376000,6.1,-58278500,-32.8,2328879000,11362,-5512,-32.7,217203,222,709
37,20120104,8,8,0,OLD,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,37611500,1.9,-21506000,-36.4,2053729500,5872,-3379,-36.5,310206,166,288
38,20120104,9,9,0,OLD,20113311,앨빈과 슈퍼밴드3,2011-12-15,34123500,1.7,-15851500,-31.7,3547001000,5339,-2595,-32.7,536791,124,247
39,20120104,10,10,0,OLD,20112708,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,2011-12-22,30059000,1.5,-19252000,-39,1724646500,4523,-2924,-39.3,254379,153,247
40,20120105,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,537772500,23.8,-53535500,-9.1,43442985500,71724,-8213,-10.3,5719319,530,2376
41,20120105,2,2,0,NEW,20113671,원더풀 라디오,2012-01-05,429958500,19.0,429958500,100,494990500,60371,60371,100,69794,421,2030
42,20120105,3,3,-1,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,284209500,12.6,-40330000,-12.4,12176288500,38942,-5661,-12.7,1649157,298,1463
43,20120105,4,4,-1,OLD,20110295,마이 웨이,2011-12-21,174053500,7.7,-64464500,-27,14135002000,23986,-9044,-27.4,1896824,394,1462
44,20120105,5,5,-1,OLD,20113260,퍼펙트 게임,2011-12-21,173245500,7.7,-42700500,-19.8,7586336500,23853,-6163,-20.5,1026728,288,1028
45,20120105,6,6,0,NEW,20113652,다크아워,2012-01-05,179605000,8.0,179605000,100,179605000,22325,22325,100,22325,305,1414
46,20120105,7,7,-1,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,142013500,6.3,17693500,14.2,2147601500,20394,2727,15.4,290565,248,682
