,movieCd,movieNm
0,20157042,셜록: 유령신부
19,20153087,포인트 브레이크
20,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격
21,20155422,굿 다이노
24,20142641,나를 잊지 말아요
47,20158882,유스
54,20159510,헤이트풀8
80,20152370,잡아야 산다
90,20154001,레버넌트: 죽음에서 돌아온 자
92,20157158,구스범스
96,20068576,그날의 분위기
153,20158483,오빠생각
154,20150566,극장판 꼬마버스 타요의 에이스 구출작전
158,20159199,빅쇼트
192,20150461,스티브 잡스
222,20157466,"로봇, 소리"
243,20151803,쿵푸팬더3
262,20159445,세기의 매치
273,20145507,검사외전
311,20159657,최강전사 미니특공대: 영웅의 탄생
312,20150942,캐롤
313,20159059,앨빈과 슈퍼밴드: 악동 어드벤처
328,20156080,나쁜놈은 죽는다
355,20150456,드레스메이커
356,20150725,극장판 아이엠스타 : 꿈의 오디션!
357,20150903,번개맨
378,20155501,주토피아
379,20150977,좋아해줘
382,20153781,데드풀
383,20158482,동주
481,20155020,대니쉬 걸
482,20151111,빌리와 용감한 녀석들: 치킨 히어로
587,20150565,스포트라이트
588,20161364,귀향
617,20151021,순정
662,20161382,레터스 투 갓
663,20161745,제 5침공
665,20145502,남과 여
679,20161630,13시간
680,20156063,룸
681,20159162,갓 오브 이집트
715,20145396,널 기다리며
716,20151884,런던 해즈 폴른
723,20161781,엽문3: 최후의 대결
724,20158529,조이
769,20162381,일사각오
770,20161881,부활
771,20161583,스푹스:MI5
776,20161968,오 마이 그랜파
812,20152781,배트맨 대 슈퍼맨: 저스티스의 시작
815,20159643,글로리데이
840,20161921,"헤일, 시저!"
861,20150902,대배우
862,20161905,나의 그리스식 웨딩 2
863,20162001,포레스트: 죽음의 숲
865,20161594,마음이 외치고 싶어해
867,20162161,미스컨덕트
903,20152782,"날, 보러와요"
904,20162065,클로버필드 10번지
906,20161964,독수리 에디
929,20162245,33
932,20161870,트럼보
947,20150470,라스트 홈
973,20145506,해어화
974,20142621,시간이탈자
983,20158984,헌츠맨: 윈터스 워
991,20162431,극장판 프랭키와 친구들: 생명의 나무
1009,20145182,4등
1048,20162321,트리플 9
1055,20162206,브루클린
1056,20162621,파라노말 액티비티: 더 고스트 디멘션
1057,20159641,위대한 소원
1087,20159364,캡틴 아메리카: 시빌 워
1088,20161842,태양 아래
1116,20162299,시크릿 인 데어 아이즈
1133,20142406,탐정 홍길동: 사라진 마을
1134,20162300,매직브러시
1136,20162542,다이노소어 어드벤처 : 백악기 공룡대백과
1138,20162704,극장판 안녕 자두야
1167,20162461,다이노X 탐험대
1200,20158888,45년 후
1203,20163137,나의 소녀시대
1205,20140194,곡성
1250,20143509,엽기적인 그녀 2
1251,20162627,다이버전트 시리즈: 얼리전트
1298,20156559,계춘할망
1300,20163018,싱 스트리트
1302,20156207,앵그리버드 더 무비
1339,20163182,하드코어 헨리
1342,20163322,동급생
