,movieNm,1주차,2주차,3주차,4주차
198,매직빈,49380,54415,54629,55013
199,매혹당한 사람들,47643,51951,53097,53744
200,맨 인 더 다크,708515,933246,997082,1002844
201,메가로돈,469426,524391,527036,527331
202,메리와 마녀의 꽃,394777,516190,534575,535539
203,메소드,19200,24199,25216,26103
204,메이즈 러너: 데스 큐어,1530639,2080969,2248120,2296810
205,메카닉: 리크루트,470847,531198,549837,551796
206,명당,1675790,2041457,2074113,2081460
207,명탐정 코난 : 제로의 집행인,343488,386081,394410,395852
208,명탐정 코난: 순흑의 악몽,398209,492775,505196,507689
209,명탐정 코난:진홍의 연가,374351,434116,447498,449428
210,모아나,915567,1430333,1974565,2190342
211,모어 댄 블루,26262,26905,27177,27287
212,모털 엔진,241039,267272,267896,268196
213,목격자,1696718,2327346,2483483,2520845
214,목소리의 형태,221363,263070,273533,275402
215,몬스터 섬의 비밀,13381,20594,26511,26688
216,몬스터 콜,64059,80132,84892,86686
217,몬스터 호텔 3,731191,947087,1031411,1058098
218,몬태나,26773,28205,28868,29245
219,무문관,8724,12401,15216,17113
220,"무현, 두 도시 이야기",29866,90303,136728,162463
221,문라이트,71031,119917,149377,164343
222,문호 스트레이독스 [데드 애플],15362,19355,22133,24750
223,물괴,685491,714880,720721,720733
224,미 비포 유,378026,559802,702593,815935
225,미녀와 야수,2075794,3445348,4274946,4711186
226,미니특공대X,57946,84993,96225,98558
227,미드나잇 선,125069,196098,239142,279589
228,미션 임파서블: 폴아웃,4394473,5852364,6309612,6472197
229,미스 사이공 : 25주년 특별 공연,25776,37103,40668,43428
230,미스 슬로운,28451,38306,44123,46615
231,미스 페레그린과 이상한 아이들의 집,1253955,2184784,2544470,2686518
232,미쓰백,308844,543667,690556,717265
233,미옥,231750,238055,238532,238567
234,미이라,2580157,3346629,3604768,3673396
235,밀정,3226066,6352011,7077367,7390553
236,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,42047,55207,61621,66282
237,바다 탐험대 옥토넛 시즌4: 더 파이널,46304,63305,69592,73282
238,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,37613,50761,55857,57140
239,바람 바람 바람,823783,1088277,1188334,1193889
240,바르다가 사랑한 얼굴들,9285,15017,19720,22541
241,바울,64088,129485,176984,212860
242,박물관이 진짜 살아있다,22532,26300,27271,27921
243,박열,1457643,1970187,2289636,2353486
244,반드시 잡는다,351038,441605,446334,446780
245,발레리나,125537,173766,196491,200153
