peopleCd,peopleNm,repRoleNm,filmoNames
20169789,더글라스 맥키넌,감독,셜록: 유령신부|플라잉 스코츠맨
10048340,에릭슨 코어,감독,포인트 브레이크|인빈서블
20175880,하시모토 마사카즈,감독,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이|짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격|짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!|레이튼 교수와 영원의 가희
10085861,피터 손,감독,굿 다이노|몬스터 대학교|라따뚜이
20065265,이윤정,감독,"나를 잊지 말아요|고스톱 살인|좋은 놈, 나쁜 놈, 이상한 놈 |달콤, 살벌한 연인|나를 잊지 말아요"
10082236,파올로 소렌티노,감독,"그때 그들|그때 그들 확장판1: 욕망의 부활|그때 그들 확장판2: 끝나지 않은 유혹|젊은 교황|유스|사랑해, 리우|그레이트 뷰티|아버지를 위한 노래|일 디보|패밀리 프렌드|사랑의 결과|엑스트라 맨"
10076801,쿠엔틴 타란티노,감독,원스 어폰 어 타임... 인 할리우드|헤이트풀8|장고:분노의 추적자|바스터즈: 거친 녀석들|데쓰 프루프|그라인드 하우스|씬 시티|킬 빌2|킬빌|배다스 시네마|재키 브라운 |황혼에서 새벽까지|포 룸 |펄프 픽션 |트루 로맨스 |저수지의 개들 
20188088,오인천,감독,디엠지:리로드|블러드 사쿠라|아나운서 살인사건|악의제국: 13일의금요일 챕터2|13일의 금요일 : 음모론의 시작|살인택시괴담: 야경 챕터2|데스트랩|폴리스 스파이|야경 : 죽음의 택시|월하|잡아야 산다|십이야: 깊고 붉은 열두 개의 밤 Chapter1|소녀괴담|모멘트|한중10년의 동행: 한예종 영상원/북경영화학교 합작영화 10주년 작품전
10044433,알레한드로 곤잘레스 이냐리투,감독,레버넌트: 죽음에서 돌아온 자|버드맨|베리만 통과하기|비우티풀|그들 각자의 영화관|바벨|21 그램|2001년 9월 11일|아모레스 페로스
10018169,롭 레터맨,감독,명탐정 피카츄|캡틴 언더팬츠|구스범스|걸리버 여행기|몬스터 vs 에이리언|샤크
10065265,조규장,감독,목격자|그날의 분위기|낙타는 말했다|봉수
10019108,류정우,감독,띠띠뽀 띠띠뽀|꼬마버스 타요 5기 + 타요의 씽씽 극장 2기|띠띠뽀 띠띠뽀 시즌1 / 꼬마버스 타요 시즌5|극장판 꼬마버스 타요의 에이스 구출작전|마당을 나온 암탉|천년여우 여우비|살결|띠띠뽀 띠띠뽀|꼬마버스 타요|세 번째 소원
10041297,아담 맥케이,감독,바이스|빅쇼트|앵커맨: 더 레전드 컨티뉴|스탠바이 캅|스텝 브라더스|텔라데가 나이트 : 리키 바비의 발라드|앵커맨
10010194,대니 보일,감독,예스터데이|스티브 잡스|클래스 오브 92|트랜스 |프랑켄슈타인|127시간|슬럼독 밀리어네어|선샤인|밀리언즈|28일 후|천국에서 홀딱 벗고 청소하기|스트럼펫|비치|이완 맥그리거의 인질|트레인스포팅 |쉘로우 그레이브 
10058219,이호재,감독,"로봇, 소리|작전|네번째 층 - 어느날 갑자기 두번째 이야기"
20168740,이호재,감독,잉여들의 히치하이킹
20112994,여인영,감독,다키스트 마인드|쿵푸팬더3|쿵푸팬더 2
10074461,알레산드로 칼로니,감독,쿵푸팬더3
10047731,에드워드 즈윅,감독,잭 리처: 네버 고 백|세기의 매치|러브 & 드럭스|디파이언스|블러드 다이아몬드|라스트 사무라이|비상계엄|커리지 언더 파이어 |가을의 전설 |어젯밤에 생긴일 
10057103,이일형,감독,리멤버|검사외전|군도: 민란의 시대|마이 웨이|비스티 보이즈
20186877,이영준,감독,극장판 미니특공대: 공룡왕 디노 |미니특공대X|파워배틀 와치카: 와치가면의 역습|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험
10080333,토드 헤인즈,감독,다크 워터스 |원더스트럭|캐롤|40X15 : 칸 감독주간 40년의 기록|아임 낫 데어|파 프롬 헤븐|벨벳 골드마인|세이프|포이즌
10052663,월트 벡커,감독,앨빈과 슈퍼밴드: 악동 어드벤처|올드 독스|거친 녀석들|엽기캠퍼스|화려한 싱글
20216987,손호,감독,나쁜놈은 죽는다 무삭제 특별판|나쁜놈은 죽는다
10066006,조셀린 무어하우스,감독,드레스메이커|아메리칸 퀼트|위험한 선택
10046584,키무라 류이치,감독,극장판 아이엠스타 : 꿈의 오디션!
10065272,조근현,감독,"흥부: 글로 세상을 바꾼 자|번개맨|봄|26년|후궁 : 제왕의 첩|마이 웨이|두 여자|슬픔보다 더 슬픈 이야기|1724 기방난동사건|고고 70|가루지기|라듸오 데이즈|마이 파더|지금 사랑하는 사람과 살고 있습니까?|전설의 고향|허브|음란서생|형사 Duelist|천군|인어 공주|장화, 홍련|버스, 정류장"
20112152,바이론 하워드,감독,주토피아|라푼젤|볼트
20121802,리치 무어,감독,주먹왕 랄프 2: 인터넷 속으로|주토피아|주먹왕 랄프|심슨 가족|퓨쳐라마
20110969,박현진,감독,"아이돌 권한대행 |좋아해줘|출중한 여자|6년째 연애중|오래된 정원|로맨틱 무브먼트, 서울"
10057485,이준익,감독,"자산어보|썬키스 패밀리|변산|박열|대배우|동주|그날의 분위기|사도|소원|봄날의 입맞춤|평양성|구르믈 버서난 달처럼|님은 먼 곳에|궁녀|즐거운 인생|라디오 스타|도마뱀|왕의 남자|달마야, 서울 가자|황산벌|달마야 놀자|공포택시|아나키스트|키드캅"
10081129,톰 후퍼,감독,캣츠|대니쉬 걸|노스맨: 바이킹과 늑대군단|레미제라블|킹스 스피치|롱포드
10016836,가브리엘 리바 팔라시오 알라트리스테,감독,빌리와 용감한 녀석들: 치킨 히어로
10059430,로돌포 리바 팔라시오 알라트리스테,감독,빌리와 용감한 녀석들: 치킨 히어로
10080439,토마스 맥카시,감독,스포트라이트|코블러|비지터|윈 윈|스테이션 에이전트
10066934,조정래,감독,"에움길|소리꾼|귀향, 끝나지 않은 이야기|귀향|파울볼|두레소리"
20306909,이은희,감독,블러드 캔 비 베리 배드|콘트라스트 오브 유
20140739,이은희,감독,순정|내 청춘에게 고함|힘내라 YS
10060837,데이빗 닉슨,감독,레터스 투 갓
10091315,J 블레이크슨,감독,제 5침공|앨리스 크리드의 실종
10056949,이윤기,감독,"어느날|남과 여|사랑한다, 사랑하지 않는다|멋진 하루|아주 특별한 손님|러브토크|여자, 정혜|티파니에서 아침을"
10023100,마이클 베이,감독,트랜스포머: 최후의 기사|13시간|닌자터틀|트랜스포머: 사라진 시대|페인 앤 게인|트랜스포머 3|트랜스포머: 패자의 역습|트랜스포머|아일랜드|나쁜 녀석들 II|진주만|아마겟돈|더 록 |나쁜 녀석들 
10014876,레니 에이브러햄슨,감독,룸|프랭크|개러지|아담과 폴
10044896,알렉스 프로야스,감독,"갓 오브 이집트|노잉|아이, 로봇|크레이지 록스타|다크시티|크로우 "
10026501,모홍진,감독,안시성|널 기다리며|우리 동네
10028197,바박 나자피,감독,런던 해즈 폴른|이지머니 2
10049890,엽위신,감독,엽문4: 더 파이널|파라독스|봉신연의: 영웅의 귀환|엽문3: 최후의 대결|천녀유혼|엽문2|엽문2-특별판|엽문|도화선|도화선 무삭제 확장판|용호문|살파랑|대성소사|비협소백룡|건시열화|주화창|오개혁귀적소년|환영경찰|신투차세대|혹성궤적|줄리엣과 양산백|폭렬형경
10012308,데이빗 O. 러셀,감독,조이|엑시덴탈 러브|아메리칸 허슬|실버라이닝 플레이북|파이터|네일드|아이 러브 허커비|쓰리 킹즈|디제스터
20195495,권혁만,감독,일사각오|그 사람 그 사랑 그 세상
20269333,고문안,감독,일사각오
10075435,케빈 레이놀즈,감독,부활|트리스탄과 이졸데|몬테 크리스토|워터 월드 |라파누이 |의적 로빈후드|여정
10028051,바랫 낼러리,감독,찰스 디킨스의 비밀 서재|스푹스:MI5|미스 페티그루의 어느 특별한 하루|크로우-구원의 손길|킬링 타임|다운 타임
20171560,댄 마저,감독,오 마이 그랜파|저스트 어 이어 
10060910,잭 스나이더,감독,저스티스 리그|배트맨 대 슈퍼맨: 저스티스의 시작|300: 제국의 부활|맨 오브 스틸|써커 펀치|가디언의 전설|왓치맨|300|새벽의 저주
20169826,잭 스나이더,감독,고스트 이미지
20112573,최정열,감독,시동|글로리데이|캐릭터|평행이론|내 사랑 내 곁에|셀푸카메라|염|잔소리|1월 독립영화의 재발견 '벼랑 끝의 사람들'|8th SISFF <단편경쟁 02. 다시 시작하는 연인>|248회 독립영화발표회-최정열 감독 단편 展|9월 독립영화의 재발견 1 - 부제 : “가족의 초상” 단편  展
10066651,조엘 코엔,감독,"서버비콘|헤일, 시저!|인사이드 르윈 |더 브레이브|시리어스 맨|번 애프터 리딩|노인을 위한 나라는 없다|사랑해, 파리|레이디킬러|참을 수 없는 사랑|그남자는 거기 없었다|오 형제여 , 어디에 있는가?|블러드 심플|위대한 레보스키 |파고 |허드서커 대리인 |바톤 핑크"
10047458,에단 코엔,감독,"서버비콘|헤일, 시저!|인사이드 르윈 |더 브레이브|시리어스 맨|번 애프터 리딩|그들 각자의 영화관|노인을 위한 나라는 없다|사랑해, 파리|레이디킬러|파고 |허드서커 대리인 |바톤 핑크"
20122507,석민우,감독,대배우|악마를 보았다|박쥐|싸이보그지만 괜찮아|친절한 금자씨|올드보이|지구를 지켜라|쓰리 몬스터
10075168,커크 존스,감독,나의 그리스식 웨딩 2|에브리바디 파인|내니맥피-우리 유모는 마법사|웨이킹네드 
20233226,제이슨 자다,감독,포레스트: 죽음의 숲
20187994,나가이 타츠유키,감독,마음이 외치고 싶어해|그날 본 꽃의 이름을 우리는 아직 모른다|그 여름에서 기다릴게
10039967,시모사와 신타로,감독,미스컨덕트
10057717,이철하,감독,"오케이! 마담|날, 보러와요|안녕?! 오케스트라|폐가|스토리 오브 와인|사랑 따윈 필요 없어"
10010411,댄 트라첸버그,감독,클로버필드 10번지
10082339,패트리시아 리건,감독,미라클 프롬 헤븐|33|언더 더 쎄임 문
10063407,제이 로치,감독,트럼보|더 캠페인|디너게임|리카운트|미트 페어런츠2|오스틴 파워 : 골드멤버|미트 페어런츠|오스틴 파워: 나를 쫓아온 스파이|미스테리 알라스카|오스틴 파워 : 제로|밤쉘
10013833,라민 바흐러니,감독,라스트 홈|불법 카센터
20331362,박흥식,감독,바람의 기억
20110989,박흥식,감독,"해어화|협녀, 칼의 기억|천국의 아이들|사랑해, 말순씨|인어 공주|나도 아내가 있었으면 좋겠다|내 동생|2015 GSFF 배우 특별전: 김수안 |미안해, 고마워"
20110995,박흥식,감독,두 번째 스물|경의선|역전의 명수|하루
10002002,곽재용,감독,바람의 색|시간이탈자|미스 히스테리|싸이보그 그녀|무림여대생|데이지|내 여자친구를 소개합니다|클래식|피아노 치는 대통령|중독|엽기적인 그녀|마스카라|비 오는 날 수채화2|가을여행|비 오는 날 수채화|기억이 들린다|3인 3색 러브스토리 : 사랑즐감
10035928,세딕 니콜라스 트로얀,감독,헌츠맨: 윈터스 워
20134495,박정오,감독,극장판 프랭키와 친구들: 생명의 나무|지구대표 롤링스타즈
10062256,정지우,감독,"유열의 음악앨범|침묵|남극의 여름|4등|잉투기|은교|이끼|모던보이|나의 사랑, 나의 영화|감독들, 김기영을 말하다|사랑니|해피엔드|배낭을 멘 소년 |생강|그랜드 파더|사로|미행+남극의 여름|인디포럼2014 필름1|다섯 개의 시선|인디포럼2015 특별1"
10068634,존 힐코트,감독,트리플 9|로우리스: 나쁜 영웅들|더 로드|프로포지션
10068387,존 크로울리,감독,더 골드핀치 |브루클린|프라이버시|이즈 애니바디 데어?|보이 A|인터미션
10086317,그레고리 플로킨,감독,헬 페스트|파라노말 액티비티: 더 고스트 디멘션
20209287,남대중,감독,기방도령|위대한 소원
