,movieCd,movieNm,point,viewer
619,20113918,아티스트,8.16,"6,089 명"
629,20124551,휴고,7.76,"60,561 명"
659,20111774,가비,독일,"270,602 명"
668,20124629,존 카터: 바숨 전쟁의 서막 ,7.56,"838,126 명"
670,20124050,화차,8.01,"2,436,884 명"
696,20124726,스탠리의 도시락 ,8.25,"47,856 명"
725,20124074,건축학개론,8.67,"4,113,696 명"
731,20124874,서약,8.22,"239,483 명"
741,20124666,크로니클,7.60,"384,398 명"
748,20124932,저스티스,미국,"44,546 명"
759,20112808,말하는 건축가,9.02,"39,746 명"
789,20124051,시체가 돌아왔다,7.42,"986,923 명"
812,20124142,언터처블: 1%의 우정,0,"1,721,611 명"
817,20124873,콘트라밴드,7.29,"52,743 명"
838,20124939,스페이스 독,7.31,"42,720 명"
881,20124717,타이탄의 분노,6.85,"893,027 명"
888,20124127,헝거게임: 판엠의 불꽃,7.19,"608,273 명"
927,20068590,인류멸망 보고서,4.85,"97,916 명"
935,20124032,간기남,6.90,"1,246,185 명"
946,20100752,달팽이의 별,9.03,"20,081 명"
954,19980074,타이타닉,9.37,"429,511 명"
957,20125106,코난: 암흑의 시대,7.82,"33,684 명"
958,20111416,두레소리,8.82,"35,340 명"
968,20101371,종착역,"프랑스, 루마니아",0
1001,20112134,배틀쉽,미국,"2,241,687 명"
1009,20113556,"봄, 눈",7.33,"22,870 명"
1015,19920231,미녀와 야수,8.78,"5,138,328 명"
1068,20124045,코리아,8.55,"1,872,682 명"
1088,20124066,은교,7.08,"1,346,511 명"
1097,20125126,킹메이커,한국,"44,965 명"
1098,20113201,하트 브레이커,7.53,"40,975 명"
1139,20125307,하늘이 보내준 딸,8.68,"16,875 명"
1150,20124721,어벤져스,8.96,"13,934,604 명"
1167,20125426,백설공주,7.41,"55,425 명"
1168,20125427,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,8.29,"272,062 명"
1236,20113889,로렉스,8.54,"298,780 명"
1237,20125866,다크 섀도우,5.86,"582,126 명"
1259,20125915,장화신은 고양이 디 오리지널,5.52,"4,947 명"
1277,20113885,맨 인 블랙 3,8.18,"3,379,764 명"
1299,20113554,내 아내의 모든 것,8.57,"4,598,985 명"
1308,20125649,데인저러스 메소드,8.36,"27,835 명"
1348,20125486,머신건 프리처,8.01,"26,640 명"
1357,20124064,돈의 맛,6.79,"1,166,025 명"
1375,20125907,콜드 라잇 오브 데이,6.24,"88,522 명"
1379,20125467,레이드 : 첫번째 습격,7.83,"21,761 명"
1417,20113533,후궁 : 제왕의 첩,6.87,"2,636,385 명"
1428,20124065,차형사,7.45,"1,346,754 명"
1465,20113745,스노우 화이트 앤 더 헌츠맨,7.43,"636,631 명"
1466,20125806,극장판 썬더일레븐GO : 궁극의 우정 그리폰,9.01,"84,255 명"
1496,20110312,미확인 동영상 : 절대클릭금지,6.16,"867,386 명"
1509,20124136,마다가스카3 : 이번엔 서커스다!,9.02,"1,635,088 명"
1519,20124350,다른나라에서,6.91,"31,143 명"
1529,20126026,블루 발렌타인,8.32,"16,032 명"
1563,20125086,프로메테우스,7.74,"971,482 명"
1628,20124055,아부의 왕,5.64,"497,880 명"
1629,20124946,락아웃: 익스트림미션,6.47,"462,176 명"
1656,20125646,사다코 3D : 죽음의 동영상,4.17,"122,382 명"
1659,20126617,더 씽,7.88,"50,839 명"
1720,20113532,미쓰GO,5.14,"611,685 명"
1728,20126413,페이스 블라인드,미국,"88,977 명"
1790,20126077,어메이징 스파이더맨,7.74,"4,168,353 명"
1793,20126566,캐빈 인 더 우즈,7.02,"228,433 명"
1798,20127108,모모와 다락방의 수상한 요괴들,8.11,"300,333 명"
1809,20113553,I AM,영국,"33,018 명"
